id_proveedor,id_videojuego,precio,precio_preorden
4,59,29500.0,32450.0
4,71,30500.0,nan
4,72,17500.0,nan
4,73,33500.0,nan
4,74,nan,nan
4,75,36500.0,40150.0
4,76,nan,nan
4,109,30500.0,33550.0
4,113,51500.0,nan
4,127,28500.0,31350.0
4,128,47000.0,nan
4,231,16500.0,18150.0
4,233,40500.0,nan
4,247,19000.0,nan
4,327,56500.0,nan
4,343,52000.0,nan
4,375,nan,nan
4,379,24500.0,26950.0
4,427,12500.0,nan
4,431,17500.0,nan
4,434,48000.0,52800.0
4,472,60000.0,66000.0
4,493,nan,nan
4,498,nan,nan
4,500,42500.0,nan
4,501,34500.0,nan
4,512,20000.0,nan
4,529,50000.0,55000.0
4,533,37500.0,nan
4,537,13500.0,nan
4,538,14500.0,nan
4,545,60000.0,nan
4,549,nan,nan
4,551,7500.0,nan
4,559,25500.0,nan
4,565,14500.0,nan
4,623,38500.0,nan
4,673,26500.0,29150.0
4,730,11500.0,nan
4,731,nan,nan
4,732,10000.0,nan
4,733,5000.0,5500.0
4,960,10500.0,nan
4,979,44500.0,nan
4,1009,55500.0,nan
4,1011,18500.0,nan
4,1020,28000.0,nan
4,1121,12500.0,nan
4,1164,21000.0,nan
4,1262,34500.0,nan
4,1266,24500.0,nan
4,1331,15500.0,nan
4,1352,21500.0,23650.0
4,1372,59500.0,nan
4,1384,nan,nan
4,1802,14500.0,15950.0
4,1871,8000.0,nan
4,1887,27000.0,nan
4,1942,32000.0,nan
4,1970,51000.0,nan
4,1985,35000.0,nan
4,2031,nan,nan
4,2155,36500.0,nan
4,2207,42500.0,46750.0
4,2993,39000.0,nan
4,3025,25500.0,nan
4,5503,nan,nan
4,6036,nan,nan
4,6801,41500.0,nan
4,7323,50500.0,nan
4,7331,37500.0,nan
4,7334,nan,nan
4,7342,57500.0,63250.0
4,7351,46500.0,nan
4,7599,44000.0,nan
4,8173,54000.0,nan
4,9630,nan,nan
4,9730,nan,nan
4,11133,52500.0,57750.0
4,11156,57000.0,nan
4,11198,22500.0,nan
4,11208,nan,nan
4,12517,11500.0,nan
4,17000,nan,nan
4,19560,29500.0,nan
4,19565,51500.0,56650.0
4,25076,34000.0,nan
2,16,52000.0,nan
2,18,nan,nan
2,21,63700.0,70070.0
2,37,12600.0,nan
2,38,12000.0,nan
2,39,19000.0,nan
2,40,6000.0,nan
2,43,5000.0,nan
2,59,32450.0,35695.0
2,71,33550.0,nan
2,72,17500.0,nan
2,73,26800.0,nan
2,76,nan,nan
2,124,3300.0,nan
2,132,33950.0,nan
2,230,nan,nan
2,247,20900.0,nan
2,327,62150.0,nan
2,343,46800.0,nan
2,472,42000.0,46200.0
2,478,44000.0,nan
2,498,nan,nan
2,500,42500.0,nan
2,501,37950.0,nan
2,529,55000.0,60500.0
2,533,33750.0,nan
2,537,10800.0,nan
2,538,10150.0,nan
2,622,34200.0,37620.0
2,623,30800.0,nan
2,730,8050.0,nan
2,732,10000.0,nan
2,733,4000.0,4400.0
2,960,10500.0,nan
2,979,48950.0,nan
2,1011,18500.0,nan
2,1020,30800.0,nan
2,1262,24150.0,nan
2,1266,19600.0,nan
2,1331,17050.0,nan
2,1372,41650.0,nan
2,1384,nan,nan
2,1802,15950.0,17545.0
2,1887,21600.0,nan
2,1942,41600.0,nan
2,1985,38500.0,nan
2,3025,20400.0,nan
2,7342,46000.0,50600.0
2,7344,29050.0,nan
2,7599,52800.0,nan
2,9630,nan,nan
2,9730,nan,nan
2,11133,57750.0,63525.0
2,14593,24150.0,nan
2,17000,nan,nan
2,25076,44200.0,nan
5,15,14300.0,nan
5,16,40000.0,nan
5,18,nan,nan
5,20,nan,nan
5,21,63700.0,70070.0
5,37,14400.0,nan
5,38,9000.0,nan
5,39,19000.0,nan
5,40,6000.0,nan
5,43,5000.0,nan
5,59,29500.0,32450.0
5,71,24400.0,nan
5,72,15750.0,nan
5,73,30150.0,nan
5,74,nan,nan
5,75,43800.0,48180.0
5,76,nan,nan
5,109,30500.0,33550.0
5,113,41200.0,nan
5,116,50700.0,nan
5,124,2970.0,nan
5,127,34200.0,37620.0
5,128,61100.0,nan
5,233,44550.0,nan
5,247,19000.0,nan
5,343,46800.0,nan
5,434,33600.0,36960.0
5,472,60000.0,66000.0
5,478,71500.0,nan
5,498,nan,nan
5,500,46750.0,nan
5,501,27600.0,nan
5,529,45000.0,49500.0
5,533,30000.0,nan
5,537,17550.0,nan
5,538,14500.0,nan
5,545,60000.0,nan
5,559,28050.0,nan
5,622,41800.0,45980.0
5,623,38500.0,nan
5,673,34450.0,37895.0
5,730,9200.0,nan
5,731,nan,nan
5,732,11000.0,nan
5,733,4500.0,4950.0
5,960,9450.0,nan
5,979,53400.0,nan
5,1011,14800.0,nan
5,1020,22400.0,nan
5,1121,12500.0,nan
5,1164,27300.0,nan
5,1262,34500.0,nan
5,1266,17150.0,nan
5,1331,18600.0,nan
5,1372,65450.0,nan
5,1871,7200.0,nan
5,1887,24300.0,nan
5,1942,25600.0,nan
5,1970,61200.0,nan
5,1985,31500.0,nan
5,2031,nan,nan
5,2155,47450.0,nan
5,2993,50700.0,nan
5,3025,33150.0,nan
5,5503,nan,nan
5,6801,49800.0,nan
5,7323,35350.0,nan
5,7342,40250.0,44275.0
5,7344,29050.0,nan
5,7351,46500.0,nan
5,7599,57200.0,nan
5,8173,54000.0,nan
5,9630,nan,nan
5,9730,nan,nan
5,11133,68250.0,75075.0
5,11198,20250.0,nan
5,12517,9200.0,nan
5,17000,nan,nan
5,25076,44200.0,nan
